,index,DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
6444,7285,2014-09-11,15/9-F-14,24.0,260.26498729166667,99.85872020833334,229.06632916666666,100.0,31.198658125,89.19959104166666,2.198647708333333,326.65,52391.25,3471.84
6445,7286,2014-09-12,15/9-F-14,24.0,260.32238020833336,99.85294229166666,229.116664375,100.0,31.205715833333333,89.10873770833334,2.203333125,338.03,49320.79,3467.35
6446,7287,2014-09-13,15/9-F-14,24.0,260.386204375,99.84630791666666,229.18945583333334,100.0,31.19674854166667,89.1362675,2.2164864583333332,336.76,49117.7,3491.79
6447,7288,2014-09-14,15/9-F-14,24.0,260.46791479166666,99.83862729166667,229.26179354166666,100.0,31.20612125,89.03617354166667,2.2130102083333334,331.91,48875.13,3440.92
6448,7289,2014-09-15,15/9-F-14,24.0,260.5295639583333,99.82821208333333,229.36159979166666,100.0,31.167964166666668,88.69468145833333,2.1782152083333335,339.41,50554.1,3429.7
6449,7290,2014-09-16,15/9-F-14,24.0,260.7201816666667,99.81751958333334,229.53319375,100.0,31.186987916666666,86.84667770833333,2.080679375,335.78,50481.13,3426.75
6450,7291,2014-09-17,15/9-F-14,24.0,260.68065574468085,99.80810319148937,229.58875741134753,97.91666666666667,31.091898333333333,86.80455744680852,2.0865730141843972,333.27,50234.4,3414.67
6451,7292,2014-09-18,15/9-F-14,24.0,260.75309617021276,99.79981361702127,229.66294106382978,97.91666666666667,31.09015510638298,86.98758276595744,2.0867785106382977,333.09,49690.24,3469.47
6452,7293,2014-09-19,15/9-F-14,24.0,260.85240765957445,99.7934185106383,229.74008042553191,97.91666666666667,31.112327234042553,88.39575170212765,2.115445319148936,331.24,49848.46,3463.8
6453,7294,2014-09-20,15/9-F-14,24.0,260.92052127659576,99.78651583333334,229.72669382978722,97.91666666666667,31.19382744680851,89.04354914893617,2.1950087234042552,340.08,50906.87,3468.02
6454,7295,2014-09-21,15/9-F-14,24.0,261.042585106383,99.77798,229.88022893617023,97.91666666666667,31.162356170212767,88.80100574468085,2.153762978723404,333.29,50107.0,3485.0
6455,7296,2014-09-22,15/9-F-14,24.0,261.11851723404254,99.77221468085106,229.9215059574468,97.91666666666667,31.197011276595745,88.99714191489362,2.1808921276595745,333.16,50057.88,3535.71
6456,7297,2014-09-23,15/9-F-14,24.0,261.180356875,99.76815666666667,229.98017166666668,100.0,31.200185208333334,88.9589525,2.1817675,338.89,50994.21,3576.59
6457,7298,2014-09-24,15/9-F-14,24.0,261.190729375,99.75741833333333,229.99300604166666,100.0,31.197723333333332,89.05934625,2.1631716666666665,337.74,51265.54,3621.29
6458,7299,2014-09-25,15/9-F-14,24.0,261.200031875,99.74818083333334,230.036271875,100.0,31.16376,88.32477791666666,2.151755,338.79,51462.6,3621.75
6459,7300,2014-09-26,15/9-F-14,24.0,261.2136345833333,99.74038645833333,230.092854375,100.0,31.120780208333333,87.8813825,2.11602125,338.8,51493.29,3604.31
6460,7301,2014-09-27,15/9-F-14,24.0,261.263816875,99.73400729166667,230.124830625,100.0,31.13898625,87.63342958333334,2.1330597916666667,335.82,51349.31,3614.08
6461,7302,2014-09-28,15/9-F-14,24.0,261.28620729166664,99.727835625,230.14923729166668,100.0,31.13697,88.03341020833334,2.1301502083333332,334.71,51080.51,3587.47
6462,7303,2014-09-29,15/9-F-14,1.25833,269.5704997379066,99.71787814325336,236.66056438716393,10.411233125,32.90993535074265,88.11478267338457,4.406401103287691,5.42,1236.4,66.17
6463,7304,2014-09-30,15/9-F-14,18.24167,267.46997473561356,99.66251898475304,232.71371063009033,43.944816875,34.756264105523236,82.78288196624541,6.074560321988064,157.75,40359.14,1686.73
6464,7305,2014-10-01,15/9-F-14,24.0,261.34031541666667,99.670701875,230.299541875,100.0,31.040773541666667,87.89982666666667,2.3411902083333334,323.17,52469.26,3603.32
6465,7306,2014-10-02,15/9-F-14,24.0,261.67950916666666,99.67839604166667,230.62216125,100.0,31.057347916666668,88.218344375,2.3714989583333335,341.36,54409.02,3562.52
6466,7307,2014-10-03,15/9-F-14,24.0,262.31680208333336,99.64091395833333,230.86599395833332,100.0,31.450808125,86.94432875,2.2802710416666665,311.3,48637.54,3466.39
6467,7308,2014-10-04,15/9-F-14,24.0,261.48274833333335,99.64748041666667,230.41114041666665,100.0,31.071607916666668,87.37998,2.372715,325.86,49961.29,3511.2
6468,7309,2014-10-05,15/9-F-14,24.0,261.664380625,99.648393125,230.50480645833332,100.0,31.159574166666665,88.13284625,2.4028452083333334,322.32,49369.92,3555.91
6469,7310,2014-10-06,15/9-F-14,24.0,261.72260416666666,99.66004145833334,230.66106395833333,100.0,31.061540208333334,85.53838208333333,2.347870416666667,320.67,49050.43,3540.85
6470,7311,2014-10-07,15/9-F-14,24.0,261.42655145833334,99.68399104166667,230.39905354166666,100.0,31.02749791666667,85.608536875,2.3291402083333335,323.6,48374.0,3403.56
6471,7312,2014-10-08,15/9-F-14,24.0,261.5319955319149,99.68906958333334,230.43609011524822,100.0,31.095905416666668,87.60336958333333,2.3537839583333335,320.46,49994.7,3492.76
6472,7313,2014-10-09,15/9-F-14,24.0,261.3621275,99.68411,230.28487104166666,100.0,31.077256458333334,87.57903958333333,2.336291875,326.8,50614.71,3485.83
6473,7314,2014-10-10,15/9-F-14,24.0,261.26367166666665,99.67956,230.19433770833334,100.0,31.069333958333335,87.745848125,2.342395625,330.91,51158.01,3326.32
6474,7315,2014-10-11,15/9-F-14,24.0,261.34857895833335,99.67950625,230.31228854166667,100.0,31.036290416666667,88.10527625,2.341570416666667,326.95,50457.8,3319.74
6475,7316,2014-10-12,15/9-F-14,24.0,261.39129354166664,99.67795770833334,230.31628270833335,100.0,31.075010833333334,88.36861229166666,2.3687385416666666,325.64,50216.05,3318.18
6476,7317,2014-10-13,15/9-F-14,24.0,261.26625875,99.67956,230.18788208333334,100.0,31.078376666666667,88.864298125,2.3709879166666665,323.25,50001.53,3423.77
6477,7318,2014-10-14,15/9-F-14,24.0,261.32630770833333,99.67956,230.242463125,100.0,31.083844583333335,88.78916708333334,2.3987389583333334,322.94,49962.98,3442.81
6478,7319,2014-10-15,15/9-F-14,24.0,261.417511875,99.67956,230.32523604166667,100.0,31.092275833333332,88.92079375,2.382394375,323.28,49843.79,3400.14
6479,7320,2014-10-16,15/9-F-14,24.0,261.388946875,99.67956,230.355216875,100.0,31.03373,88.267381875,2.3340960416666667,321.24,49473.7,3342.45
6480,7321,2014-10-17,15/9-F-14,24.0,261.4063625,99.679028125,230.39854854166666,100.0,31.007813958333333,87.20104604166667,2.3037064583333335,320.17,49469.2,3330.6
6481,7322,2014-10-18,15/9-F-14,24.0,261.423350625,99.670284375,230.45385270833333,100.0,30.96949791666667,86.42371354166667,2.2657297916666668,321.63,49812.03,3327.51
6482,7323,2014-10-19,15/9-F-14,24.0,261.44503291666666,99.66811,230.444366875,100.0,31.000666041666666,86.874864375,2.2882527083333333,323.0,50014.1,3321.01
6483,7324,2014-10-20,15/9-F-14,24.0,261.45486854166666,99.66658270833334,230.40289770833334,100.0,31.051970833333332,88.16390625,2.3309870833333335,319.88,49667.38,3315.85
6484,7325,2014-10-21,15/9-F-14,24.0,261.47391208333335,99.65993104166667,230.45467791666667,100.0,31.019234166666667,87.27926979166666,2.3002266666666666,326.36,50120.57,3307.73
6485,7326,2014-10-22,15/9-F-14,24.0,261.49282375,99.6587625,230.44022041666668,100.0,31.052603333333334,87.98453979166666,2.33050125,324.91,50143.95,3368.49
6486,7327,2014-10-23,15/9-F-14,24.0,261.5358522916667,99.653865,230.51082041666666,100.0,31.025031875,87.20302729166667,2.3233535416666666,324.89,50321.44,3313.79
6487,7328,2014-10-24,15/9-F-14,24.0,261.566591875,99.6496175,230.49061208333333,100.0,31.075979791666665,87.43379458333334,2.3465189583333332,325.66,50374.46,3342.4
6488,7329,2014-10-25,15/9-F-14,24.0,261.571558125,99.6498,230.56830729166666,100.0,31.003250833333333,86.49667229166667,2.2993679166666667,328.9,50980.83,3359.03
6489,7330,2014-10-26,15/9-F-14,25.0,261.6027546,99.6454666,230.602211,100.0,31.0005436,85.6461272,2.290826,344.97,53208.23,3380.43
6490,7331,2014-10-27,15/9-F-14,24.0,261.92685375,99.634965625,230.65241583333332,100.0,31.274437916666667,87.14024458333333,2.305019375,329.71,50969.26,3348.38
6491,7332,2014-10-28,15/9-F-14,24.0,262.40900229166664,99.62918145833333,230.77006083333333,100.0,31.638941458333335,87.23011895833334,2.243179375,329.27,50777.97,3302.37
6492,7333,2014-10-29,15/9-F-14,24.0,262.0713583333333,99.63181479166667,231.277385625,100.0,30.79397270833333,88.58083416666666,2.304390833333333,318.0,48823.37,3249.99
6493,7334,2014-10-30,15/9-F-14,24.0,261.290586875,99.63129479166666,230.327888125,100.0,30.96269875,87.36837166666666,2.2764914583333336,327.23,50153.78,3303.55
